instruction,input,output
Generate follow-up message for pending task,"{""task"": ""Statutory filing"", ""assignedTo"": ""Meera Joshi"", ""status"": ""blocked"", ""pendingDays"": 1}",The assigned task has been pending for 1 days. Please complete and update the HRMS at the earliest.
Generate follow-up message for pending task,"{""task"": ""Statutory filing"", ""assignedTo"": ""Suresh Iyer"", ""status"": ""blocked"", ""pendingDays"": 1}",The assigned task has been pending for 1 days. Immediate action is required. Continued delay will be escalated.
Generate follow-up message for pending task,"{""task"": ""HR data migration"", ""assignedTo"": ""Karthik R"", ""status"": ""in-progress"", ""pendingDays"": 2}",The assigned task has been pending for 2 days. Please complete and update the HRMS at the earliest.
Generate follow-up message for pending task,"{""task"": ""Attendance reconciliation"", ""assignedTo"": ""Neha Verma"", ""status"": ""blocked"", ""pendingDays"": 2}",The assigned task has been pending for 2 days. Immediate action is required. Continued delay will be escalated.
Generate follow-up message for pending task,"{""task"": ""Attendance reconciliation"", ""assignedTo"": ""Vikram Singh"", ""status"": ""pending"", ""pendingDays"": 3}",The assigned task has been pending for 3 days. Please complete and update the HRMS at the earliest.
Generate follow-up message for pending task,"{""task"": ""Employee onboarding documentation"", ""assignedTo"": ""Neha Verma"", ""status"": ""in-progress"", ""pendingDays"": 3}",The assigned task has been pending for 3 days. Immediate action is required. Continued delay will be escalated.
Generate follow-up message for pending task,"{""task"": ""Employee onboarding documentation"", ""assignedTo"": ""Pooja Malhotra"", ""status"": ""in-progress"", ""pendingDays"": 4}",The assigned task has been pending for 4 days. Please complete and update the HRMS at the earliest.
Generate follow-up message for pending task,"{""task"": ""Employee onboarding documentation"", ""assignedTo"": ""Vikram Singh"", ""status"": ""blocked"", ""pendingDays"": 4}",The assigned task has been pending for 4 days. Immediate action is required. Continued delay will be escalated.
Generate follow-up message for pending task,"{""task"": ""HR data migration"", ""assignedTo"": ""Suresh Iyer"", ""status"": ""in-progress"", ""pendingDays"": 5}",The assigned task has been pending for 5 days. Please complete and update the HRMS at the earliest.
Generate follow-up message for pending task,"{""task"": ""Statutory filing"", ""assignedTo"": ""Ravi Kumar"", ""status"": ""pending"", ""pendingDays"": 5}",The assigned task has been pending for 5 days. Immediate action is required. Continued delay will be escalated.
Generate follow-up message for pending task,"{""task"": ""Leave policy review"", ""assignedTo"": ""Vikram Singh"", ""status"": ""blocked"", ""pendingDays"": 6}",The assigned task has been pending for 6 days. Please complete and update the HRMS at the earliest.
