instruction,input,output
Respond according to HRMS policy,Can I extend my task deadline?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who approves leave?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I access payroll reports?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,I missed a mandatory training.,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who can change my role?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I edit attendance after submission?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Is manager approval mandatory?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I apply leave retrospectively?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I extend my task deadline?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who approves leave?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I access payroll reports?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,I missed a mandatory training.,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who can change my role?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I edit attendance after submission?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Is manager approval mandatory?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I apply leave retrospectively?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I extend my task deadline?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who approves leave?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I access payroll reports?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,I missed a mandatory training.,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who can change my role?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I edit attendance after submission?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Is manager approval mandatory?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I apply leave retrospectively?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I extend my task deadline?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who approves leave?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I access payroll reports?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,I missed a mandatory training.,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who can change my role?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I edit attendance after submission?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Is manager approval mandatory?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I apply leave retrospectively?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I extend my task deadline?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who approves leave?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I access payroll reports?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,I missed a mandatory training.,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who can change my role?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I edit attendance after submission?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Is manager approval mandatory?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I apply leave retrospectively?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I extend my task deadline?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who approves leave?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I access payroll reports?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,I missed a mandatory training.,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who can change my role?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I edit attendance after submission?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Is manager approval mandatory?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I apply leave retrospectively?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I extend my task deadline?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who approves leave?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I access payroll reports?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,I missed a mandatory training.,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Who can change my role?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
Respond according to HRMS policy,Can I edit attendance after submission?,The request must follow HRMS policy guidelines and approval hierarchy without exception.
